resource_name,source_files,english_value,japanese_value,market_adaptation
l10n_duration_minutes_10c3d1ca4b,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt,Duration (minutes),所要時間（分）,no
l10n_edit_5301648dcf,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/FinancialSummaryCard.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Edit,編集,no
l10n_edit_account_a7bbd29ef8,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Edit Account,口座を編集,no
l10n_edit_debt_b321534344,resource/manual,Edit Debt,債務を編集,no
l10n_email_84add5b295,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/LeadCard.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Email,メール,no
l10n_email_address_09ba557fd1,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Email Address,メールアドレス,no
l10n_email_reports_593bdc0539,resource/manual,Email Reports,メールレポート,no
l10n_email_support_for_sync_or_account_issues_aaeecf78ff,resource/manual,Email support for sync or account issues,同期やアカウント問題のメールサポート,no
l10n_enable_holding_cost_calculation_8c6e77a841,resource/manual,Enable Holding Cost Calculation,保管コスト計算を有効化,no
l10n_enable_parts_tracking_module_84b8e24907,resource/manual,Enable parts tracking module,部品管理モジュールを有効化,yes
l10n_entity_counts_7cd051ce3f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,Entity Counts,データ件数,no
l10n_estimated_value_c0da7cb3ed,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Estimated Value,見込み金額,no
l10n_estimated_value_s_2695067f49,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Estimated Value (%s),見込み金額（%s）,no
l10n_executive_summary_3abcc2cf04,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterViewModel.kt,Executive Summary,エグゼクティブサマリー,no
l10n_expense_templates_f352328486,resource/manual,Expense Templates,経費テンプレート,no
l10n_expenses_8d437dbf95,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,Expenses,経費,no
l10n_export_clients_csv_8c21a892e1,resource/manual,Export clients CSV,顧客CSVをエクスポート,no
l10n_export_expenses_csv_ef83c6d4b7,resource/manual,Export expenses CSV,経費CSVをエクスポート,no
l10n_export_failed_d6c17e9bd7,resource/manual,Export failed,エクスポートに失敗しました,no
l10n_export_vehicles_csv_69dee19215,resource/manual,Export vehicles CSV,車両CSVをエクスポート,no
l10n_filter_d7decf1aa2,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientListScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadFunnelScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,Filter,フィルター,no
l10n_financial_accounts_728ed9e9ca,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Financial Accounts,金融口座,no
l10n_financial_overview_bd34d08878,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterViewModel.kt,Financial Overview,財務概要,no
l10n_formula_annual_rate_365_days_c6985dd15d,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Formula: Annual Rate ÷ 365 days,計算式: 年率 ÷ 365日,no
l10n_free_plan_46bba20f3f,resource/manual,Free Plan,無料プラン,no
l10n_full_backup_archive_6d63cfb1eb,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt,Full Backup &amp; Archive,フルバックアップとアーカイブ,no
l10n_general_9239ee2cda,resource/manual,General,一般,no
l10n_generate_pdf_report_71a2691414,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt,Generate PDF Report,PDFレポートを作成,no
l10n_holding_cost_072a0eb5df,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,Holding Cost,在庫保有費,yes
l10n_holding_cost_is_s_of_total_cost_consider_f_1657f0d2c7,resource/manual,Holding cost is %s%% of total cost. Consider faster turnover.,保管コストが総原価の%s%%です。回転期間の短縮を検討してください。,no
l10n_holding_cost_settings_56d4285d35,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Holding Cost Settings,在庫保有費設定,yes
l10n_holding_costs_are_s_of_vehicle_cost_consid_dd6b8bdb30,resource/manual,Holding costs are %s%% of vehicle cost. Consider faster turnover.,保管コストが車両原価の%s%%です。回転期間の短縮を検討してください。,no
l10n_holding_costs_represent_the_daily_expense__f638001ece,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,Holding costs represent the daily expense of keeping a vehicle in your inventory. ,保管コストは、車両を在庫として保有するために日々発生する費用です。,yes
l10n_how_it_works_8cecc82d72,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/HoldingCostSettingsScreen.kt,How It Works,仕組み,no
l10n_improvement_06a5958742,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,Improvement,改善,no
l10n_in_garage_6e98e8be38,resource/manual,In Garage,保管中,no
l10n_in_transit_046e5cee81,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,In Transit,搬送中,no
l10n_info_4b631f6984,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAlertsScreen.kt,Info,情報,no
l10n_initial_stock_246f037a63,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Initial Stock,初期在庫,yes
l10n_interactions_0b3583ecaa,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Interactions,対応履歴,no
l10n_interactions_3e9b25e52c,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,INTERACTIONS,対応履歴,no
l10n_inventory_300d29fd5f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Inventory,在庫,yes
l10n_inventory_overview_6c60ff1858,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Inventory Overview,在庫概要,yes
l10n_inventory_parts_48753b6a28,resource/manual,Inventory &amp; Parts,在庫と部品,yes
l10n_inventory_value_d96f52b847,resource/manual,Inventory Value,在庫金額,yes
l10n_invite_accepted_use_the_business_switcher__48c892716f,resource/manual,Invite accepted. Use the business switcher to change organizations.,招待を承認しました。事業切り替えから組織を変更できます。,no
l10n_invite_b136609f06,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Invite,招待,no
l10n_invite_code_copied_53ba04fe05,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Invite code copied,招待コードをコピーしました,no
l10n_invite_code_e91cf27d1a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Invite code,招待コード,no
l10n_invite_code_is_required_d56d4da09f,resource/manual,Invite code is required.,招待コードを入力してください。,no
l10n_invite_code_saved_sign_in_to_apply_0358d383fb,resource/manual,Invite code saved. Sign in to apply.,招待コードを保存しました。適用するにはサインインしてください。,no
l10n_invite_ready_d63d9ab8e9,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Invite Ready,招待の準備完了,no
l10n_invite_removed_6c02654e1f,resource/manual,Invite removed.,招待を削除しました。,no
l10n_invite_team_member_ba9a4750b3,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Invite Team Member,チームメンバーを招待,no
l10n_join_car_dealer_tracker_using_my_invite_co_688ef50dfa,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,"Join Car Dealer Tracker using my invite code %1$s. Subscribe and we both get an extra month free.
%2$s","招待コード %1$s を使ってCar Dealer Trackerに参加してください。サブスクリプション登録で双方に1か月分の特典が追加されます。
%2$s",no
l10n_join_e0d73143de,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Join,参加,no
l10n_join_team_by_code_de2c46a824,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Join Team by Code,コードでチームに参加,no
l10n_language_89b86ab0e6,resource/manual,Language,言語,no
l10n_last_sync_s_3823d3f26b,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,Last Sync: %s,最終同期: %s,no
l10n_lead_funnel_1a4f54a31c,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadFunnelScreen.kt,Lead Funnel,リードファネル,no
l10n_lead_information_f5caed15cb,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,LEAD INFORMATION,リード情報,no
l10n_lead_management_a32661e4fa,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt,Lead Management,リード管理,no
l10n_lead_score_570b129882,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Lead Score,リードスコア,no
l10n_lead_source_272a3bc17b,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Lead Source,リード獲得元,no
l10n_lead_stage_3835cf63f8,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Lead Stage,リードステージ,no
l10n_legal_902c91d94e,resource/manual,Legal,法務,no
l10n_line_items_7cea20a1a0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Line Items,明細,no
l10n_load_the_finance_snapshot_used_for_deliver_7133b84064,resource/manual,Load the finance snapshot used for delivery,配信に使う財務スナップショットを読み込む,no
l10n_low_stock_023d1181eb,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Low Stock,低在庫,yes
l10n_manage_bf58d17e56,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Manage,管理,no
l10n_manage_parts_inventory_b3976d6b7d,resource/manual,Manage Parts Inventory,部品在庫を管理,yes
l10n_manage_team_6008d643e7,resource/manual,Manage Team,チーム管理,no
l10n_management_63cecca67b,resource/manual,Management,管理,no
l10n_mark_all_read_e5f6134329,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAlertsScreen.kt,Mark All Read,すべて既読にする,no
l10n_mark_sold_f9ed53bb35,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Mark Sold,販売済みにする,no
l10n_max_s_c462e78d25,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt,Max: %s,上限: %s,no
l10n_member_removed_f948dba5bc,resource/manual,Member removed.,メンバーを削除しました。,no
l10n_menu_57f5f5efbc,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,Menu,メニュー,no
l10n_merge_duplicate_vehicles_clients_users_and_21d32c6631,resource/manual,"Merge duplicate vehicles, clients, users and accounts",重複した車両、顧客、ユーザー、口座を統合,no
l10n_message_68f4145fee,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/LeadCard.kt,Message,メッセージ,no
l10n_mileage_83d293bb51,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Mileage:,走行距離:,no
l10n_monthly_finance_snapshot_preview_and_test__c2b4e0c277,resource/manual,"Monthly finance snapshot, preview and test delivery",月次財務スナップショット、プレビュー、テスト配信,no
l10n_more_options_86c0a35ec8,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/LeadCard.kt,More options,その他の操作,no
l10n_move_to_s_219f3bcc39,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/LeadCard.kt,Move to %s,%sへ移動,no
l10n_name_709a23220f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Name,名前,no
l10n_need_attention_90_days_968bd64859,resource/manual,Need attention (90+ days),対応が必要（90日超）,no
l10n_net_profit_8bebc63cc9,resource/manual,Net Profit,純利益,no
l10n_net_profit_dce52ef31f,resource/manual,NET PROFIT,純利益,no
l10n_never_80c3052d33,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,Never,未実行,no
l10n_new_debt_acf70a9a2b,resource/manual,New Debt,新規債務,no
l10n_new_password_4894cb39ee,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/auth/PasswordResetScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/ChangePasswordScreen.kt,New Password,新しいパスワード,no
l10n_new_sale_66d89d8f55,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartDetailBottomSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/sale/AddSaleScreen.kt,New Sale,新規販売,no
l10n_newest_added_04df647871,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Newest Added,追加日: 新しい順,no
l10n_next_reminder_5f4f731670,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Next Reminder,次のリマインダー,no
l10n_no_816c52fd2b,resource/manual,No,いいえ,no
l10n_no_burning_inventory_6dd14714f6,resource/manual,No burning inventory,長期在庫はありません,yes
l10n_no_expenses_recorded_for_this_vehicle_c072fec1dd,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,No expenses recorded for this vehicle,この車両の経費はまだありません,no
l10n_no_interactions_recorded_fcfb0c9bc0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,No interactions recorded,対応履歴はありません,no
l10n_no_inventory_available_yet_5380356e1d,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,No inventory available yet,利用可能な在庫はまだありません,yes
l10n_no_organizations_yet_e932e617af,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt,No organizations yet,組織はまだありません,no
l10n_no_payment_history_26a1fce3d4,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt,No payment history,支払い履歴はありません,no
l10n_no_photo_available_26ee476cf8,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,No photo available,写真はありません,no
l10n_no_photos_selected_dde0dad3af,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,No photos selected,写真が選択されていません,no
l10n_no_reminders_set_deaccb44c3,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,No reminders set,リマインダーは設定されていません,no
l10n_no_transactions_yet_494bb679a0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,No transactions yet,取引はまだありません,no
l10n_no_vehicle_linked_1207f8a434,resource/manual,No vehicle linked,紐づく車両はありません,no
l10n_no_vehicle_selected_ba526a43b4,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,No vehicle selected,車両が選択されていません,no
l10n_no_vehicles_found_c578cfdbd5,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,No vehicles found,車両が見つかりません,no
l10n_none_6eef664840,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,None,なし,no
l10n_not_selected_183079f3bd,resource/manual,Not selected,未選択,no
l10n_note_optional_df9d34ca45,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/FinancialAccountScreens.kt,Note (Optional),メモ（任意）,no
l10n_notes_70440046a3,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/AddInteractionSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Notes,メモ,no
l10n_notes_e69fc18a69,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,NOTES,メモ,no
l10n_notes_optional_2fd5716446,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt,Notes (Optional),メモ（任意）,no
l10n_offline_queue_51301f4d01,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,Offline Queue,オフラインキュー,no
l10n_ok_9ce3bd4224,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleAddEditScreen.kt,OK,OK,no
l10n_oldest_added_4864f09810,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Oldest Added,追加日: 古い順,no
l10n_on_hand_41733d8e55,resource/manual,On Hand,在庫数,yes
l10n_on_hand_s_b4e94bd7fb,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,On Hand: %s,在庫数: %s,yes
l10n_on_sale_684df04fff,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,On Sale,販売中,no
l10n_open_receipt_29074b8045,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/util/ExpenseReceiptViewer.kt,Open receipt,領収書を開く,no
l10n_operational_8459f93535,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseScreen.kt,Operational,運営費,no
l10n_owes_you_855addac0e,resource/manual,OWES YOU,相手の支払い,no
l10n_owned_b62ff5ccd1,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/inventory/InventoryAnalyticsScreen.kt,Owned,在庫保管中,yes
l10n_paid_by_2e06e8e0d2,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/AddExpenseSheet.kt,Paid By,支払者,no
l10n_part_88be9d62d7,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Part,部品,yes
l10n_part_batches_e6bca6edb1,resource/manual,Part Batches,部品ロット,yes
l10n_part_sale_line_items_913154a288,resource/manual,Part Sale Line Items,部品販売明細,yes
l10n_part_sales_14413b3d65,resource/manual,Part Sales,部品販売,yes
l10n_parts_e374280917,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Parts,部品,yes
l10n_password_reset_email_sent_check_your_inbox_de927be614,resource/manual,Password reset email sent! Check your inbox.,パスワード再設定メールを送信しました。受信箱を確認してください。,no
l10n_password_updated_successfully_please_sign__8c88ae9b78,resource/manual,Password updated successfully. Please sign in with your new password.,パスワードを更新しました。新しいパスワードでサインインしてください。,no
l10n_payment_amount_s_4b4a7ded49,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt,Payment Amount (%s),支払額（%s）,no
l10n_payment_method_f383f6a23c,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleAddEditScreen.kt,Payment Method,支払方法,no
l10n_pending_invite_4c0cead4ed,resource/manual,Pending invite,招待保留中,no
l10n_phone_number_ab25d61bb1,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Phone Number,電話番号,no
l10n_photo_gallery_44ef3f997a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Photo Gallery,写真ギャラリー,no
l10n_please_sign_in_to_accept_the_invitation_8500a13e70,resource/manual,Please sign in to accept the invitation.,招待を承認するにはサインインしてください。,no
l10n_preview_f1fbb2b43d,resource/manual,Preview,プレビュー,no
l10n_preview_previous_month_0f655d06b2,resource/manual,Preview previous month,前月をプレビュー,no
l10n_price_high_to_low_c60097c36d,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Price: High to Low,価格: 高い順,no
l10n_price_low_to_high_ed3d3af1bd,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,Price: Low to High,価格: 低い順,no
l10n_priority_d_25ab148977,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/components/crm/LeadPriorityIndicator.kt,Priority %d,優先度 %d,no
l10n_privacy_policy_9db108ba6b,resource/manual,Privacy Policy,プライバシーポリシー,no
l10n_profile_ff4fc0276e,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/dashboard/DashboardScreen.kt,Profile,プロフィール,no
l10n_projected_roi_is_s_consider_cost_reduction_8685e99daf,resource/manual,Projected ROI is %s%%. Consider cost reduction or price increase.,予測ROIは%s%%です。コスト削減または値上げを検討してください。,no
l10n_purchase_date_44c49c39bc,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Purchase Date:,仕入日:,no
l10n_purchase_status_2a8751d8fd,resource/manual,Purchase &amp; Status,仕入・ステータス,no
l10n_quantity_44f6af6945,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Quantity,数量,no
l10n_queue_d_dad2e299dd,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,Queue: %d,キュー: %d,no
l10n_quick_exports_d46b411b0f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/BackupCenterScreen.kt,Quick Exports,クイックエクスポート,no
l10n_re_enter_password_aefce7f750,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/auth/PasswordResetScreen.kt,Re-enter password,パスワードを再入力,no
l10n_receipt_f6ce3b6fcf,resource/manual,Receipt,領収書,no
l10n_receipt_removed_d5c1b3de12,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseDetailBottomSheet.kt,Receipt removed,領収書を削除しました,no
l10n_receipt_updated_91e7da08ee,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/expense/ExpenseDetailBottomSheet.kt,Receipt updated,領収書を更新しました,no
l10n_receive_stock_7f38105bfd,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartDetailBottomSheet.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/parts/PartsDashboardScreen.kt,Receive Stock,入庫,no
l10n_record_payment_6577ced3c0,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/finance/DebtScreens.kt,Record Payment,支払いを記録,no
l10n_refresh_56e3badc4e,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadFunnelScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/crm/LeadManagementScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/MonthlyReportSettingsScreen.kt; Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Refresh,更新,no
l10n_region_language_61abc4a8c8,resource/manual,Region &amp; Language,地域と言語,no
l10n_reminder_title_e0a0d76c7c,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Reminder Title,リマインダー件名,no
l10n_reminders_414594a618,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,REMINDERS,リマインダー,no
l10n_reminders_ae8c393938,resource/manual,Reminders,リマインダー,no
l10n_reminders_deadlines_00a3464088,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/SettingsScreen.kt,Reminders &amp; Deadlines,リマインダーと期限,no
l10n_remove_cover_7a5eef5219,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleDetailScreen.kt,Remove cover,カバーを解除,no
l10n_remove_e963907dac,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Remove,削除,no
l10n_remove_receipt_7ad9820882,resource/manual,Remove Receipt,領収書を削除,no
l10n_report_export_failed_4df279729b,resource/manual,Report export failed,レポートのエクスポートに失敗しました,no
l10n_request_details_5a4c5cf8bc,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/client/ClientDetailScreen.kt,Request Details,依頼詳細,no
l10n_request_permanent_removal_of_your_account__715c8b1c9a,resource/manual,Request permanent removal of your account and all data,アカウントと全データの完全削除を依頼,no
l10n_reset_44c57abd88,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/TeamMembersScreen.kt,Reset,リセット,no
l10n_restore_purchases_2d5574135f,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/PaywallScreen.kt,Restore Purchases,購入を復元,no
l10n_revenue_9ee5830936,resource/manual,REVENUE,売上,no
l10n_roi_high_to_low_829d8222f7,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,ROI: High to Low,ROI: 高い順,no
l10n_roi_is_s_consider_reviewing_pricing_strate_d69c12723b,resource/manual,ROI is %s%%. Consider reviewing pricing strategy.,ROIは%s%%です。価格戦略の見直しを検討してください。,no
l10n_roi_low_to_high_0f09644eb4,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/vehicle/VehicleListScreen.kt,ROI: Low to High,ROI: 低い順,no
l10n_s_s_089331a24a,Android Car Dealer Tracker/app/src/main/java/com/ezcar24/business/ui/settings/DataHealthScreen.kt,%1$s • %2$s,%1$s・%2$s,no
