key_or_source_string,source_files,english_value,russian_value,japanese_value,market_adaptation
Password Updated,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,Password Updated,Пароль обновлен,パスワードを更新しました,no
Passwords do not match,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,Passwords do not match,Пароли не совпадают,パスワードが一致しません,no
Payment,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Debt+Extensions.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DebtDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtPaymentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Payment,Платеж,支払い,no
Payment Method,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift,Payment Method,Способ оплаты,支払方法,no
Payment is charged to your Apple ID at confirmation. Subscriptions renew automatically unless canceled at least 24 hours before the end of the period. Manage or cancel anytime in Settings > Apple ID > Subscriptions. Deleting the app does not cancel the subscription.,catalog/manual,Payment is charged to your Apple ID at confirmation. Subscriptions renew automatically unless canceled at least 24 hours before the end of the period. Manage or cancel anytime in Settings > Apple ID > Subscriptions. Deleting the app does not cancel the subscription.,"Оплата списывается с вашего Apple ID при подтверждении. Подписки продлеваются автоматически, если не отменить минимум за 24 часа до окончания периода. Управлять или отменить можно в Настройки > Apple ID > Подписки. Удаление приложения не отменяет подписку.",お支払いは確認時にApple IDへ請求されます。サブスクリプションは期間終了の24時間前までに解約しない限り自動更新されます。管理または解約は、設定 > Apple ID > サブスクリプションからいつでも行えます。アプリを削除してもサブスクリプションは解約されません。,no
Payment method,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Payment method,Способ оплаты,支払方法,no
Payments,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DebtDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Payments,Платежи,支払い,no
Pending confirmation,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Pending confirmation,Ожидает подтверждения,確認待ち,no
Pending: %@,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Pending: %@,Ожидает: %@,保留中: %@,no
Performance & Profit,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Performance & Profit,Показатели и прибыль,業績と利益,yes
Personal Information,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift,Personal Information,Личная информация,個人情報,no
Phone,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AppSessionState.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Vehicle+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift,Phone,Телефон,電話,no
Phone Number,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Phone Number,Номер телефона,電話番号,no
Phone number,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Phone number,Номер телефона,電話番号,no
Photos,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Photos,Фото,写真,no
Plate / Registration,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Plate / Registration,Номера / регистрация,登録・ナンバー,yes
Preferred Date,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Preferred Date,Предпочтительная дата,希望日,no
Preview,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/RegionSelectionView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/SalesListView.swift,Preview,Предпросмотр,プレビュー,no
Preview Photo,catalog/manual,Preview Photo,Предпросмотр фото,写真をプレビュー,no
Preview and export the same finance snapshot that will back future email delivery.,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift,Preview and export the same finance snapshot that will back future email delivery.,"Просмотрите и экспортируйте финансовый снимок, который будет использоваться для будущей email-рассылки.",今後のメール配信に使う財務スナップショットをプレビューして書き出します。,no
Previous calendar month,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift,Previous calendar month,Предыдущий календарный месяц,前月,no
Price,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Vehicle+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Price,Цена,価格,no
Privacy Policy,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift,Privacy Policy,Политика конфиденциальности,プライバシーポリシー,no
Pro,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift,Pro,Pro,Pro,no
Professional Dealer Management,catalog/manual,Professional Dealer Management,Профессиональное управление дилерским бизнесом,販売店向け業務管理,yes
Profile Updated,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift,Profile Updated,Профиль обновлен,プロフィールを更新しました,no
Purchase without an account,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Purchase without an account,Покупка без аккаунта,アカウントなしで購入,yes
Quick Actions,iOS Car Dealer Tracker/Ezcar24Business/Views/iPadRootView.swift,Quick Actions,Быстрые действия,クイック操作,no
Re-enter password,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,Re-enter password,Повторите пароль,パスワードを再入力,no
Ready to export data,catalog/manual,Ready to export data,Готово к экспорту данных,データを書き出す準備ができました,no
Recipients,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift,Recipients,Получатели,宛先,no
Record a payment to reduce the balance.,iOS Car Dealer Tracker/Ezcar24Business/Views/DebtDetailView.swift,Record a payment to reduce the balance.,"Зафиксируйте платеж, чтобы уменьшить баланс.",支払いを記録して残高を減らします。,no
Referral Code (optional),catalog/manual,Referral Code (optional),Реферальный код (необязательно),紹介コード（任意）,no
Referral bonus active until %@,catalog/manual,Referral bonus active until %@,Реферальный бонус активен до %@,紹介ボーナス有効期限 %@,no
Refresh Databases,catalog/manual,Refresh Databases,Обновить базы данных,データベースを更新,no
Refreshing...,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Refreshing...,Обновление...,更新中...,no
Registration,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Registration,Регистрация,登録,yes
Reminders & Due Dates,catalog/manual,Reminders & Due Dates,Напоминания и сроки,リマインダーと期限,no
Remote %@,catalog/manual,Remote %@,Удаленно %@,リモート %@,no
Remote %lld,catalog/manual,Remote %lld,Удаленно %lld,リモート %lld,no
Remote check failed: %@,catalog/manual,Remote check failed: %@,Удаленная проверка не удалась: %@,リモート確認に失敗: %@,no
Remote —,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Remote —,Удаленно —,リモート —,no
Report contents,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift,Report contents,Содержимое отчета,レポート内容,no
Reset Password,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,Reset Password,Сбросить пароль,パスワードをリセット,no
Restore Purchases,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Restore Purchases,Восстановить покупки,購入を復元,no
Restoring...,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Restoring...,Восстановление...,復元中...,no
Retry,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Retry,Повторить,再試行,no
Revenue %@ • COGS %@,catalog/manual,Revenue %1$@ • COGS %2$@,Выручка %1$@ • Себестоимость %2$@,売上 %1$@ • 売上原価 %2$@,no
Revenue %@ • Purchase %@ • Expenses %@ • Holding %@ • VAT refund %@,catalog/manual,Revenue %1$@ • Purchase %2$@ • Expenses %3$@ • Holding %4$@ • VAT refund %5$@,Выручка %1$@ • Покупка %2$@ • Расходы %3$@ • Хранение %4$@ • Возврат НДС %5$@,売上 %1$@ • 仕入 %2$@ • 経費 %3$@ • 在庫保有費 %4$@ • 消費税還付 %5$@,yes
Run Diagnostics,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Run Diagnostics,Запустить диагностику,診断を実行,no
"Run a quick check to compare local data, remote data, and queued changes.",iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,"Run a quick check to compare local data, remote data, and queued changes.","Запустите быструю проверку для сравнения локальных данных, удаленных данных и изменений в очереди.",ローカルデータ、リモートデータ、保留中の変更をすばやく比較します。,no
Running...,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Running...,Выполняется...,実行中...,no
SUBSCRIPTION DETAILS,catalog/manual,SUBSCRIPTION DETAILS,ДЕТАЛИ ПОДПИСКИ,サブスクリプション詳細,no
Sale Type,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Sale Type,Тип продажи,販売種別,yes
Sale date,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Sale date,Дата продажи,販売日,yes
Sales Filter,iOS Car Dealer Tracker/Ezcar24Business/Views/SalesListView.swift,Sales Filter,Фильтр продаж,販売フィルター,yes
Sales tax,iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Sales tax,Налог с продаж,売上税,yes
Save,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ShareSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift,Save,Сохранить,保存,no
Save & Share,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Save & Share,Сохранить и поделиться,保存して共有,no
Save Changes,iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Save Changes,Сохранить изменения,変更を保存,no
Save Comment,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift,Save Comment,Сохранить комментарий,コメントを保存,no
Save Deal Desk Sale,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Save Deal Desk Sale,Сохранить продажу через калькулятор,販売計算の内容で保存,yes
Save Expense,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Save Expense,Сохранить расход,経費を保存,yes
Save Payment,iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtPaymentView.swift,Save Payment,Сохранить платеж,支払いを保存,no
Save as PDF,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Save as PDF,Сохранить как PDF,PDFとして保存,no
Save settings,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Save settings,Сохранить настройки,設定を保存,no
Saved,iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Saved,Сохранено,保存済み,no
Saving...,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtPaymentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Saving...,Сохранение...,保存中...,no
Schema Preview,catalog/manual,Schema Preview,Предпросмотр схемы,スキーマプレビュー,no
"Search Make, Model, Inventory ID, VIN...",iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleSelectionSheet.swift,"Search Make, Model, Inventory ID, VIN...","Поиск по марке, модели, ID склада, VIN...",メーカー、車種、在庫ID、VINを検索...,yes
"Search Make, Model, VIN...",iOS Car Dealer Tracker/Ezcar24Business/Views/Components/VehicleSelectionSheet.swift,"Search Make, Model, VIN...","Поиск марки, модели, VIN...",メーカー、車種、VINを検索...,no
Search expenses,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Search expenses,Поиск расходов,経費を検索,yes
Section,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ReceivePartStockView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift,Section,Раздел,セクション,no
Secured by App Store,catalog/manual,Secured by App Store,Защищено App Store,App Storeで保護されています,no
Select Business,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Select Business,Выберите бизнес,事業を選択,no
Select Data to Export,catalog/manual,Select Data to Export,Выберите данные для экспорта,エクスポートするデータを選択,no
Select Database,catalog/manual,Select Database,Выберите базу данных,データベースを選択,no
Select Date,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Select Date,Выберите дату,日付を選択,no
Select Date & Time,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Select Date & Time,Выберите дату и время,日時を選択,no
Select Destination Database,catalog/manual,Select Destination Database,Выберите целевую базу,出力先データベースを選択,no
Select Documents,catalog/manual,Select Documents,Выбрать документы,書類を選択,no
Select a Menu Item,iOS Car Dealer Tracker/Ezcar24Business/Views/iPadRootView.swift,Select a Menu Item,Выберите пункт меню,メニュー項目を選択,no
Select a plan to view pricing and renewal details.,catalog/manual,Select a plan to view pricing and renewal details.,"Выберите план, чтобы увидеть цены и продление.",料金と更新内容を確認するにはプランを選択してください。,no
Selected photos,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Selected photos,Выбранные фото,選択した写真,no
Set up a database with the proper schema,catalog/manual,Set up a database with the proper schema,Настройте базу данных с правильной схемой,適切なスキーマでデータベースを設定,no
Share,iOS Car Dealer Tracker/Ezcar24Business/Utilities/ShareLinkItemSource.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ShareSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Share,Поделиться,共有,no
Share Output,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Share Output,Что отправить,共有する内容,no
Share Report,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Share Report,Поделиться отчетом,レポートを共有,no
Share this code with the member. They can enter it on the login screen after installing the app.,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Share this code with the member. They can enter it on the login screen after installing the app.,Поделитесь этим кодом с участником. Он сможет ввести его на экране входа после установки приложения.,このコードをメンバーに共有してください。メンバーはアプリをインストール後、ログイン画面で入力できます。,no
Show Schema Preview,catalog/manual,Show Schema Preview,Показать предпросмотр схемы,スキーマプレビューを表示,no
Sign In,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Sign In,Войти,サインイン,no
Sign In (Optional),catalog/manual,Sign In (Optional),Вход (необязательно),サインイン（任意）,no
Sign Up,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift,Sign Up,Регистрация,登録,no
Sign in only for sync or restore on other devices.,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift,Sign in only for sync or restore on other devices.,Войдите только для синхронизации или восстановления на других устройствах.,他の端末との同期や復元が必要な場合のみサインインします。,no
Sort,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift,Sort,Сортировать,並び替え,no
Sort By,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift,Sort By,Сортировать по,並び替え,no
Stage,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Client+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/CRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Analytics/AnalyticsHubView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Stage,Этап,ステージ,no
Standard,catalog/manual,Standard,Стандарт,標準,no
Start Date,catalog/manual,Start Date,Дата начала,開始日,no
Starting Balance,iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift,Starting Balance,Начальный баланс,開始残高,no
Status,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Status,Статус,ステータス,no
Stock-101,iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Stock-101,Stock-101,Stock-101,no
"Structured around realized sales profit, monthly expenses, and cash movement instead of one synthetic net figure.",iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift,"Structured around realized sales profit, monthly expenses, and cash movement instead of one synthetic net figure.","Сфокусировано на фактической прибыли от продаж, месячных расходах и движении денег вместо одной условной итоговой цифры.",単一の合成指標ではなく、確定した販売利益、月次経費、現金の動きを軸に構成しています。,yes
"Successfully exported %lld items.
Failed: %lld",catalog/manual,"Successfully exported %1$lld items.
Failed: %2$lld","Экспортировано: %1$lld.
Не удалось: %2$lld","%1$lld件をエクスポートしました。
失敗: %2$lld件",no
Summary,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/CRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/SalesListView.swift,Summary,Сводка,概要,no
Sync,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift,Sync,Синхр.,同期,no
Sync Diagnostics,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Sync Diagnostics,Диагностика синхронизации,同期診断,no
Tap an account to view transactions.,iOS Car Dealer Tracker/Ezcar24Business/Views/FinancialAccountsView.swift,Tap an account to view transactions.,Нажмите на счет для просмотра транзакций.,口座をタップすると取引を確認できます。,yes
Tap the photos you want to include. The cover photo is still used for the card preview when available.,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Tap the photos you want to include. The cover photo is still used for the card preview when available.,"Нажмите фото, которые хотите включить. Обложка по-прежнему используется для предпросмотра карточки, если доступна.",含めたい写真をタップしてください。カバー写真がある場合は、カードプレビューに引き続き使用されます。,yes
Tap to review inventory alerts,iOS Car Dealer Tracker/Ezcar24Business/Views/Components/Inventory/InventoryAlertCard.swift,Tap to review inventory alerts,"Нажмите, чтобы просмотреть предупреждения по складу",タップして在庫アラートを確認,yes
Task,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift,Task,Задача,タスク,no
Taxes,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Taxes,Налоги,税金,yes
Team Invite Code,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Team Invite Code,Код приглашения команды,チーム招待コード,no
Team Management,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift,Team Management,Управление командой,チーム管理,no
Template,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/User+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Vehicle+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CoreDataExtensions.swift,Template,Шаблон,テンプレート,yes
Template Name,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Template Name,Название шаблона,テンプレート名,yes
Term months,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Term months,Срок в месяцах,返済月数,no
Terms of Use,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift,Terms of Use,Условия использования,利用規約,no
Text summary,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Text summary,Текстовое резюме,テキスト概要,no
